color,filename,plastic_or_not,N,site
brown,Results_Bassac1_070622_100um_derivative_OG_T0.7_results.csv,not plastic,107,B2
gold,Results_Bassac1_070622_100um_derivative_OG_T0.7_results.csv,not plastic,5,B2
translucent,Results_Bassac1_070622_100um_derivative_OG_T0.7_results.csv,not plastic,56,B2
white,Results_Bassac1_070622_100um_derivative_OG_T0.7_results.csv,not plastic,3,B2
black,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,not plastic,15,B1
brown,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,not plastic,313,B1
gold,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,B1
green,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,not plastic,7,B1
purple,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,B1
translucent,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,not plastic,151,B1
white,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,not plastic,6,B1
yellow,Results_Bassac2_070422_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,B1
black,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,not plastic,13,B1
brown,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,not plastic,31,B1
gold,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,not plastic,2,B1
green,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,not plastic,2,B1
red,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,not plastic,1,B1
translucent,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,not plastic,37,B1
yellow,Results_Bassac2_070422_100um_B_derivative_OG_T0.7_results.csv,not plastic,1,B1
black,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,not plastic,2,M8
brown,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,not plastic,76,M8
gold,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,not plastic,6,M8
multi,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,not plastic,3,M8
translucent,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,not plastic,25,M8
white,Results_Mekong_2_07062_100um_derivative_OG_T0.7_results.csv,not plastic,26,M8
black,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,not plastic,3,M6
brown,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,not plastic,115,M6
gold,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,not plastic,11,M6
multi,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,not plastic,4,M6
red,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,not plastic,1,M6
silver,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,not plastic,3,M6
translucent,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,not plastic,44,M6
white,Results_Mekong_4_070722_100_derivative_OG_T0.7_results.csv,not plastic,10,M6
black,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,not plastic,33,M1
brown,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,not plastic,210,M1
gold,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,not plastic,6,M1
green,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,not plastic,3,M1
purple,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,not plastic,4,M1
red,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,not plastic,17,M1
translucent,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,not plastic,99,M1
white,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,not plastic,25,M1
yellow,Results_Mekong10_071122_100um_A_1_derivative_OG_T0.7_results.csv,not plastic,1,M1
black,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,not plastic,33,M1
brown,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,not plastic,218,M1
gold,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,not plastic,14,M1
green,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,not plastic,4,M1
purple,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,not plastic,1,M1
red,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,not plastic,24,M1
translucent,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,not plastic,124,M1
white,Results_Mekong10_071122_100um_B_derivative_OG_T0.7_results.csv,not plastic,16,M1
brown,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,not plastic,201,M9
gold,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,not plastic,11,M9
green,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,not plastic,1,M9
multi,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,not plastic,5,M9
silver,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,not plastic,2,M9
translucent,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,not plastic,89,M9
white,Results_Mekong3_070522_100um_derivative_OG_T0.7_results.csv,not plastic,6,M9
black,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,not plastic,3,M5
blue,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,not plastic,1,M5
brown,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,not plastic,109,M5
gold,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,not plastic,9,M5
translucent,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,not plastic,46,M5
white,Results_Mekong5_070722_100um_derivative_OG_T0.7_results.csv,not plastic,10,M5
black,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,19,M4
brown,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,178,M4
green,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,6,M4
red,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,6,M4
translucent,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,89,M4
white,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,6,M4
yellow,Results_Mekong6_070922_100um_A_derivative_OG_T0.7_results.csv,not plastic,1,M4
black,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,26,M4
brown,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,248,M4
gold,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,4,M4
green,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,8,M4
red,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,13,M4
translucent,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,94,M4
white,Results_Mekong6_070922_100um_B_derivative_OG_T0.7_results.csv,not plastic,11,M4
black,Results_Mekong7_Dup_070822_100um__B_derivative_OG_T0.7_results.csv,not plastic,6,M3D
