Site,total_particles,volume_L,volume_m3,P_M3,PL,95_CIL_M3,95_CIU_M3,95_CIL_PL,95_CIU_PL
SK1,407.33,65,0.065,6266.62,6.27,5672.75,6905.75,5.67,6.91
SS1,126.33,63,0.063,2005.24,2.01,1670.83,2386.95,1.67,2.39
SS1D,150,65,0.065,2307.69,2.31,1953.17,2707.96,1.95,2.71
M1,237,65,0.065,3646.15,3.65,3196.69,4141.12,3.2,4.14
M2,29.33,65,0.065,451.23,0.45,302.95,646.74,0.3,0.65
M3,258.33,65,0.065,3974.31,3.97,3504.4,4489.68,3.5,4.49
M3D,416.37,65,0.065,6405.69,6.41,5805.11,7051.54,5.81,7.05
M4,459,65,0.065,7061.54,7.06,6430.22,7738.09,6.43,7.74
M5,86,22,0.022,3909.09,3.91,3126.77,4827.7,3.13,4.83
M6,38.33,65,0.065,589.69,0.59,417.98,808.3,0.42,0.81
M8,39.33,30,0.03,1311,1.31,933.7,1789.85,0.93,1.79
M9,73.67,60,0.06,1227.83,1.23,963.56,1542.21,0.96,1.54
B1,213.33,65,0.065,3282,3.28,2856.33,3753.22,2.86,3.75
B2,71.667,65,0.065,1102.57,1.1,862.17,1389.24,0.86,1.39
