site,match_category_corrected,size_W,size_L,morphology,blank_type,filename,total_values,volume,subsample_rate,total_N,total_MDA,corrected_N,N_per_L
B1,Polyethylenes,<50,100-200,fiber/filament,H2O2,Bassac2_Feb1922_HVS_100um_derivative_beta_T0.7_results.csv,1,46,0.2,5,3.3333333333333335,1.6666666666666665,0.03623188405797101
B1,Polyethylenes,<50,200-300,fiber/filament,H2O2,Bassac2_Feb1922_HVS_100um_derivative_beta_T0.7_results.csv,2,46,0.2,10,3.3333333333333335,6.666666666666666,0.14492753623188404
B1,Polypropylene,50-100,50-100,fiber/filament,H2O2,Bassac2_Feb1922_HVS_100um_derivative_beta_T0.7_results.csv,1,46,0.2,5,0,5,0.10869565217391304
B1,Polyvinyl chlorides,<50,<50,fragment,H2O2,Bassac2_Feb1922_HVS_100um_derivative_beta_T0.7_results.csv,1,46,0.2,5,0,5,0.10869565217391304
B1,Rubber,<50,100-200,fiber/filament,H2O2,Bassac2_Feb1922_HVS_100um_derivative_beta_T0.7_results.csv,1,46,0.2,5,0,5,0.10869565217391304
B1,Rubber,<50,300-400,fiber/filament,H2O2,Bassac2_Feb1922_HVS_100um_derivative_beta_T0.7_results.csv,1,46,0.2,5,0,5,0.10869565217391304
B2,Polyethylenes,<50,50-100,fiber/filament,H2O2,Bassac1_Feb1822_HVS_100um_T0.7_results.csv,1,73,0.2,5,3.3333333333333335,1.6666666666666665,0.0228310502283105
B2,Polypropylene,<50,300-400,fiber/filament,H2O2,Bassac1_Feb1822_HVS_100um_T0.7_results.csv,1,73,0.2,5,0,5,0.0684931506849315
B2,Rubber,<50,100-200,fiber/filament,H2O2,Bassac1_Feb1822_HVS_100um_T0.7_results.csv,1,73,0.2,5,0,5,0.0684931506849315
M1,Other plastic,50-100,50-100,fiber/filament,H2O2,Results_Mekong10_Feb22_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,3.3333333333333335,1.6666666666666665,0.037037037037037035
M1,Other plastic,50-100,<50,film,H2O2,Results_Mekong10_Feb22_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
M1,Other plastic,<50,100-200,fiber/filament,H2O2,Results_Mekong10_Feb22_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,3.3333333333333335,1.6666666666666665,0.037037037037037035
M1,Polyacrylamides,50-100,50-100,fragment,H2O2,Results_Mekong10_Feb22_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
M1,Polyethylenes,<50,100-200,fiber/filament,H2O2,Results_Mekong10_Feb22_HVS_100um_derivative_beta_T0.7_results.csv,2,45,0.2,10,3.3333333333333335,6.666666666666666,0.14814814814814814
M1,Polyterephthalates,50-100,50-100,film,H2O2,Results_Mekong10_Feb22_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,3.3333333333333335,1.6666666666666665,0.037037037037037035
