site,length,key,sqr_km,NAME_1,NAME_2,WC_avail,WC_acces,Shape_Length,Shape_Area,key_2,OBJECTID,key_23,ZONE_CODE,COUNT,AREA,SUM
B1,40,B1_40,1,Kâmpóng Cham,Batheay,no,0,0.05738793,7.9669E-05,B1_40_0.0,10,B1_40_0.0,10,27027,0.002085417,153003.5032
B1,40,B1_40,2,Kâmpóng Cham,Batheay,no,0,0.055391788,0.00014263,B1_40_0.0,10,B1_40_0.0,10,27027,0.002085417,153003.5032
M8,40,M8_40,2,Kâmpóng Cham,Batheay,no,0,0.055391788,0.00014263,M8_40_0.0,38,M8_40_0.0,38,24641,0.001901312,138937.0729
M6,20,M6_20,5,Kâmpóng Cham,Kampong Cham,,75,0.096418564,0.000395674,M6_20_0.0,29,M6_20_0.0,29,8811,0.000679861,69757.80344
M6,10,M6_10,5,Kâmpóng Cham,Kampong Cham,,75,0.096418564,0.000395674,M6_10_0.0,52,M6_10_0.0,52,6575,0.00050733,54540.64058
M6,5,M6_5,5,Kâmpóng Cham,Kampong Cham,,75,0.096418564,0.000395674,M6_5_0.0,85,M6_5_0.0,88,5999,0.000462886,51662.27761
M6,40,M6_40,5,Kâmpóng Cham,Kampong Cham,,75,0.096418564,0.000395674,M6_40_0.0,9,M6_40_0.0,9,14529,0.001121065,112092.1765
M6,20,M6_20,8,Kâmpóng Cham,Kampong Cham,,75,0.116020747,0.000636144,M6_20_0.0,29,M6_20_0.0,29,8811,0.000679861,69757.80344
M6,10,M6_10,8,Kâmpóng Cham,Kampong Cham,,75,0.116020747,0.000636144,M6_10_0.0,52,M6_10_0.0,52,6575,0.00050733,54540.64058
M6,5,M6_5,8,Kâmpóng Cham,Kampong Cham,,75,0.116020747,0.000636144,M6_5_0.0,85,M6_5_0.0,88,5999,0.000462886,51662.27761
M6,2,M6_2,8,Kâmpóng Cham,Kampong Cham,,75,0.116020747,0.000636144,M6_2_0.0,112,M6_2_0.0,115,2423,0.00018696,27460.41496
M6,40,M6_40,8,Kâmpóng Cham,Kampong Cham,,75,0.116020747,0.000636144,M6_40_0.0,9,M6_40_0.0,9,14529,0.001121065,112092.1765
M6,40,M6_40,10,Kâmpóng Cham,Kampong Siem,no,0,0.124052814,0.000819693,M6_40_0.0,9,M6_40_0.0,9,14529,0.001121065,112092.1765
M6,20,M6_20,39,Kâmpóng Cham,Kampong Siem,no,0,0.254258158,0.003202956,M6_20_0.0,29,M6_20_0.0,29,8811,0.000679861,69757.80344
M6,40,M6_40,39,Kâmpóng Cham,Kampong Siem,no,0,0.254258158,0.003202956,M6_40_0.0,9,M6_40_0.0,9,14529,0.001121065,112092.1765
M6,20,M6_20,21,Kâmpóng Cham,Kampong Siem,no,0,0.184840332,0.001717424,M6_20_0.0,29,M6_20_0.0,29,8811,0.000679861,69757.80344
M6,10,M6_10,21,Kâmpóng Cham,Kampong Siem,no,0,0.184840332,0.001717424,M6_10_0.0,52,M6_10_0.0,52,6575,0.00050733,54540.64058
M6,40,M6_40,21,Kâmpóng Cham,Kampong Siem,no,0,0.184840332,0.001717424,M6_40_0.0,9,M6_40_0.0,9,14529,0.001121065,112092.1765
M6,20,M6_20,11,Kâmpóng Cham,Kampong Siem,no,0,0.154507171,0.000911298,M6_20_0.0,29,M6_20_0.0,29,8811,0.000679861,69757.80344
M6,10,M6_10,11,Kâmpóng Cham,Kampong Siem,no,0,0.154507171,0.000911298,M6_10_0.0,52,M6_10_0.0,52,6575,0.00050733,54540.64058
M6,5,M6_5,11,Kâmpóng Cham,Kampong Siem,no,0,0.154507171,0.000911298,M6_5_0.0,85,M6_5_0.0,88,5999,0.000462886,51662.27761
M6,40,M6_40,11,Kâmpóng Cham,Kampong Siem,no,0,0.154507171,0.000911298,M6_40_0.0,9,M6_40_0.0,9,14529,0.001121065,112092.1765
M6,20,M6_20,1,Kâmpóng Cham,Kampong Siem,no,0,0.054808615,7.57459E-05,M6_20_0.0,29,M6_20_0.0,29,8811,0.000679861,69757.80344
M6,10,M6_10,1,Kâmpóng Cham,Kampong Siem,no,0,0.054808615,7.57459E-05,M6_10_0.0,52,M6_10_0.0,52,6575,0.00050733,54540.64058
M6,5,M6_5,1,Kâmpóng Cham,Kampong Siem,no,0,0.054808615,7.57459E-05,M6_5_0.0,85,M6_5_0.0,88,5999,0.000462886,51662.27761
M6,2,M6_2,1,Kâmpóng Cham,Kampong Siem,no,0,0.054808615,7.57459E-05,M6_2_0.0,112,M6_2_0.0,115,2423,0.00018696,27460.41496
M6,40,M6_40,1,Kâmpóng Cham,Kampong Siem,no,0,0.054808615,7.57459E-05,M6_40_0.0,9,M6_40_0.0,9,14529,0.001121065,112092.1765
M7,40,M7_40,16,Kâmpóng Cham,Kang Meas, ,0.07,0.147983024,0.001303832,M7_40_0.07,35,M7_40_0.07,35,1053,0.00008125,7479.923608
B1,40,B1_40,16,Kâmpóng Cham,Kang Meas, ,0.07,0.147983024,0.001303832,B1_40_0.07,36,B1_40_0.07,36,1053,0.00008125,7479.923608
