site,length,key,sqr_km,ISO,Province,District,WC_acces
B1,2,B1_2,0.193631004,KHM,Kândal,Kien Svay,92
B1,2,B1_2,0.839040881,KHM,Phnom Penh,Mean Chey,92
B1,2,B1_2,1.525433223,KHM,Phnom Penh,Mean Chey,92
B1,2,B1_2,2.581590058,KHM,Phnom Penh,Mean Chey,92
B1,2,B1_2,0.445557399,KHM,Phnom Penh,Phnom Penh,92
B1,2,B1_2,1.387353387,KHM,Phnom Penh,Phnom Penh,92
B1,5,B1_5,1.69317249,KHM,Kândal,Khsach Kandal,92
B1,5,B1_5,0.069055202,KHM,Kândal,Kien Svay,92
B1,5,B1_5,0.193631004,KHM,Kândal,Kien Svay,92
B1,5,B1_5,2.605865519,KHM,Kândal,Lvea Aem,0
B1,5,B1_5,1.080546721,KHM,Kândal,Lvea Aem,0
B1,5,B1_5,0.874187733,KHM,Kândal,Lvea Aem,0
B1,5,B1_5,0.839040881,KHM,Phnom Penh,Mean Chey,92
B1,5,B1_5,0.564354241,KHM,Phnom Penh,Mean Chey,92
B1,5,B1_5,0.220008972,KHM,Phnom Penh,Mean Chey,92
B1,5,B1_5,1.525433223,KHM,Phnom Penh,Mean Chey,92
B1,5,B1_5,2.581590058,KHM,Phnom Penh,Mean Chey,92
B1,5,B1_5,0.445557399,KHM,Phnom Penh,Phnom Penh,92
B1,5,B1_5,0.940467428,KHM,Phnom Penh,Phnom Penh,92
B1,5,B1_5,1.387353387,KHM,Phnom Penh,Phnom Penh,92
B1,5,B1_5,1.15385047,KHM,Phnom Penh,Phnom Penh,92
B1,5,B1_5,0.882393191,KHM,Phnom Penh,Ruessei Kaev,92
B1,5,B1_5,2.218001554,KHM,Phnom Penh,Ruessei Kaev,92
B1,10,B1_10,5.387004657,KHM,Kândal,Khsach Kandal,92
B1,10,B1_10,3.392350007,KHM,Kândal,Khsach Kandal,92
B1,10,B1_10,2.282837914,KHM,Kândal,Khsach Kandal,92
B1,10,B1_10,1.525415902,KHM,Kândal,Khsach Kandal,92
B1,10,B1_10,1.69317249,KHM,Kândal,Khsach Kandal,92
B1,10,B1_10,0.069055202,KHM,Kândal,Kien Svay,92
B1,10,B1_10,0.193631004,KHM,Kândal,Kien Svay,92
B1,10,B1_10,2.605865519,KHM,Kândal,Lvea Aem,0
B1,10,B1_10,1.080546721,KHM,Kândal,Lvea Aem,0
B1,10,B1_10,0.874187733,KHM,Kândal,Lvea Aem,0
B1,10,B1_10,0.409462223,KHM,Kândal,Mukh Kampul,92
B1,10,B1_10,0.839040881,KHM,Phnom Penh,Mean Chey,92
B1,10,B1_10,0.564354241,KHM,Phnom Penh,Mean Chey,92
B1,10,B1_10,0.220008972,KHM,Phnom Penh,Mean Chey,92
B1,10,B1_10,1.525433223,KHM,Phnom Penh,Mean Chey,92
B1,10,B1_10,2.581590058,KHM,Phnom Penh,Mean Chey,92
B1,10,B1_10,0.445557399,KHM,Phnom Penh,Phnom Penh,92
B1,10,B1_10,0.940467428,KHM,Phnom Penh,Phnom Penh,92
B1,10,B1_10,1.387353387,KHM,Phnom Penh,Phnom Penh,92
B1,10,B1_10,0.343111894,KHM,Phnom Penh,Phnom Penh,92
B1,10,B1_10,0.678031242,KHM,Phnom Penh,Phnom Penh,92
B1,10,B1_10,1.15385047,KHM,Phnom Penh,Phnom Penh,92
B1,10,B1_10,0.019202733,KHM,Phnom Penh,Ruessei Kaev,92
B1,10,B1_10,4.115845148,KHM,Phnom Penh,Ruessei Kaev,92
B1,10,B1_10,0.076834156,KHM,Phnom Penh,Ruessei Kaev,92
B1,10,B1_10,3.718566581,KHM,Phnom Penh,Ruessei Kaev,92
B1,10,B1_10,0.882393191,KHM,Phnom Penh,Ruessei Kaev,92
B1,10,B1_10,5.229350202,KHM,Phnom Penh,Ruessei Kaev,92
B1,10,B1_10,3.441374992,KHM,Phnom Penh,Ruessei Kaev,92
B1,10,B1_10,1.586343067,KHM,Phnom Penh,Ruessei Kaev,92
